"ID ","COMPONENT                                                    ","FIPS   ","REGION                     ","CODE   ","INDUSTRY                   ","    1998","    1999","    2000","    2001","    2002","    2003"
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","01     "," All Industries                                                            ",    107825,    113701,    116265,    120291,    125567,    132145
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","02     ","   Private industries                                                      ",     91166,     96516,     98476,    101796,    106188,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","03     ","     Agriculture, forestry, fishing, and hunting                           ",      2130,      2182,      2037,      2310,      1931,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","04     ","       Crop and animal production (Farms)                                  ",      1439,      1481,      1294,      1574,      1207,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","05     ","       Forestry, fishing, and related activities                           ",       691,       701,       744,       736,       724,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","06     ","     Mining                                                                ",      1327,      1238,      1273,      1330,      1200,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","07     ","       Oil and gas extraction                                              ",       162,       191,       312,       294,       210,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","08     ","       Mining, except oil and gas                                          ",       942,       892,       821,       836,       816,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","09     ","       Support activities for mining                                       ",       223,       155,       140,       200,       174,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","10     ","    Utilities                                                              ",      2949,      3165,      3111,      3420,      3507,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","11     ","    Construction                                                           ",      4879,      5213,      5356,      5521,      5486,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","12     ","    Manufacturing                                                          ",     19923,     20933,     20980,     20227,     20793,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","13     ","      Durable goods                                                        ",     10704,     11999,     11506,     10913,     11811,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","14     ","        Wood product manufacturing                                         ",      1249,      1402,      1102,      1141,      1171,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","15     ","        Nonmetallic mineral product manufacturing                          ",       814,       807,       790,       771,       756,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","16     ","        Primary metal manufacturing                                        ",      1669,      1768,      1648,      1342,      1378,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","17     ","        Fabricated metal product manufacturing                             ",      1720,      1891,      1802,      1677,      1787,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","18     ","        Machinery manufacturing                                            ",       923,       945,       960,       857,       826,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","19     ","        Computer and electronic product manufacturing                      ",      1097,      1189,       967,       864,       924,"  (N/A) "
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","20     ","        Electrical equipment and appliance manufacturing                   ",       481,       470,       490,       724,       728,"  (N/A) "
